Unnamed: 0,Date,Reviews,Ratings,Serial,Name
1410,06-Jun-20,"***My Buick came back to me in worse condition than it came in, and the technicians was never able to find out how to fix my parking brake service light or anything at all!!!! How is this a BUICK dealership that doesn't know how to fix a BUICK CORRECTLY??? ITS A SHAME THIS BUSINESS REPRESENTS BUICK AT ALL! Yes I got a refund, because nobody was able to fix anything!!!! 

***A correct diagnostics to fully fix the customers vehicle from the beginning would of been ideal! Having the technicians ""play a guessing game for services"" with customers vehicles and finances is wrong and unacceptable! Also having the wrong parts or saying it General Motors sending faulty parts is something you'll as a business reach out to GM about. Its bad for business and most customers only see that your services department are not organized and you'll not doing a good job with diagnostics completely. 

***My BUICK VERANO seems like services and technicians just ""dissected it and returned it to me with no respect or integrity"" for your customer. I DON'T EVEN KNOW WHAT I AM DRIVING, its not the same vehicle I brought in, and I used credit card and waiting on my refund so I can possible find a legit place to get the correct diagnostics and my Buick fixed properly! How am I supposed to trust driving this car now, with my family and travel with the military? My credit card refund has not returned yet and hopefully it comes back to my bank asap, because I need to fix my Buick Verano. 

Mike Smith was the only one helpful this week assisting the refund process and updates with my BUICK VERANO. I appreciate the assistance from a Fixed Operation Director, but why doesn't your service advisors and technicians work on a more professional manner?? 

You'll really lost a customers trust and me being military and from Texas (San Antonio) I was hoping for you'll to earn my business, because Soldiers always end up back in Fort Hood, TX and need quality automotive services. It's just not gonna be Patriot Buick/GMC for me anymore! I pray you fix your services department and business.
God Bless! 
",1.2,96,Texas_without_threshold\Buick4 Reviews of Patriot Buick GMC.csv
4823,28-May-20,I told my salesman many times that I was repairing credit for 4 years. Do not run my credit yet. They did x 2. They have you sign a paper and reword it as they put it in front of you. I called back the next day and was told a different story. Horrible business. ,1,337,Texas_without_threshold\Chrysler6 Reviews of Star Dodge Chrysler Jeep RAM.csv
4230,27-May-20,Do not buy service contracts from this dealer especially oil changes. Its a scam. They sell oil changes you cant possibly use. No refund. Bad,1,311,Texas_without_threshold\Chrysler36 Reviews of AutoNation Chrysler Dodge Jeep Ram North Fort Worth.csv
5409,22-May-20,"Today I had the worst experience in all of my car purchasing history. My husband and I were shopping for a particular truck and heard that Grapevine Dodge would be the place to find it. And we actually found the truck that we were shopping for however the treatment we received was extremely humiliating. Our salesman Leo sat with us to talk about the purchase and we explained to him that we would like to work on the pricing before any further actions could take place. He then handed my husband his IPAD and asked that he complete all of the boxes in red. Listed on the IPAD was a box that required his social security number. We asked Leo, if we provide the number would there be any type of credit pulled and he said no this information would be placed in the dealership files for future transactions. After completing the fields, we again stated that we absolutely did not want the credit pulled and he said they would not pull credit. Trusting what he stated was the truth we then proceeded to complete the requested information. After completion he took the IPAD went into another office and came back with my husbandâ€™s credit score written on a sheet of paper. We were puzzled as to how he had obtained this information without pulling my husbandâ€™s credit, we looked at him and said we both stated to you several times that we did not want the credit pulled. He began to explain that it was a soft inquiry and not a hard one therefore it would not show up on the credit report. In efforts to verify what he stated was true we immediately looked at the credit report and there it was, a hard inquiry from Grapevine Dodge. We said to him again, we told you that we did not want this to happen. He then proceeded to talk about the sale as if he didn't hear what we said about the credit being pulled without our permission. While talking about the purchase, still bothered by the lie he told, we explained to him that we would be seeking outside financing and he stated the dealership did not allow outside financing. We asked if we could bring the full amount of the purchase basically in cashier's check or check and he said no to that as well. It was at that point that we realized this dealership did not want to transact business with us. In this case it was apparent that this dealership had a problem with us. Their actions and treatment towards us would suggest that the issue was racially motivated. I have never felt so humiliated, frustrated and just down right disgusted. This dealership has a salesman that will look right into your eyes lie and manipulate in efforts to try and deceive you to get your information only to turn you away. Once we confronted him about his actions he asked to wait while he went to get his manager, Richard, who initially supported his actions until we informed him that Leo purposely deceived us. He then decided he would try to somewhat smooth things over by saying the dealership would do business with us. By this time, we were furious and felt as if we could not trust anyone. I asked Richard for the name of the owner and he proceeded to tell us that he was the one in charge and there was no one higher than him. If he isn't the owner wouldn't there be someone over him? Perhaps another lie! DO NOT USE THIS DEALERSHIP!",1,355,Texas_without_threshold\Chrysler91 Reviews of Grapevine Dodge Chrysler Jeep.csv
3971,09-Apr-20,"Itâ€™s been over a month since I purchased my vehicle and they have yet to pay it off. Iâ€™m still receiving payments from my other vehicle. And when I called to try and find out the problem, they gave me the run around. And when I finally get the situation fixed, they fail to refund the money that Iâ€™ve paid on my old vehicle in the time they stated. Texan Dodge in Humble has always been crap. I just figured since they completely changed their staff that it might be better. NOPE!! Bunch of clowns who are incapable of doing their job.",1,293,Texas_without_threshold\Chrysler25 Reviews of Texan Dodge Chrysler Jeep Ram.csv
17078,20-Mar-20,"If I could leave a zero star review, I would.  We purchased a 2019 GLS-450  in December of 2018.  While Dutch, the salesman was fine, the dealer rating is dragged down by the absolute worst experience in finance department.  The Finance person, Tariq, was absolutely condescending and extremely high-pressure, especially when he found out we weren't going buy the ""Platinum"" package that ""every S-Class purchaser must have.""  

Fast forward to December 2019 and the introduction of the 2020 GLS-450 with second row Captain's Chairs and a touch screen infotainment display.  We made the decision to trade in our 2019 for the 2020 because it works better for our situation.

Because of the awful experience at Houston North, we drove out of our way to Mercedes of The Woodlands to trade-in and purchase the new GLS.  The difference in the process was amazing and I can see the difference in a locally-owned dealership and one owned by AutoNation.

Because we had purchased an extended warranty and prepaid maintenance for the 2019, we are due a 100% refund on these products as we never did use them.  Unfortunately Mercedes requires the selling dealership to process the paperwork.  

We have been trying for over a month to get this paperwork processed as Mercedes owes us quite a bit of money.  We have provided all of the necessary paperwork to process the refund.  All calls and emails to the Finance Manager, Frank Castenada, go unanswered.  The times I have gone to the dealership in person, there was ""no finance person available to assist you.""

I have also reached out to the Assistant General Manager as the General Manager, Ivan ""was not available.""  The AGM has not responded to us, either.  I am amazed that someone would do business in this manner.

What is required to process my refund??  C'mon AutoNation!",1.2,998,Texas_without_threshold\Mercedes-Benz42 Reviews of Mercedes-Benz of Houston North.csv
891,03-Mar-20,"I will never buy a vehicle from this dealership, again. The customer service after your initial purchase -goes way down.Thanks for nothing! After I cancelled the platinum extended service contract they are dragging their rear ends getting MY refund over $2000 to me. I donâ€™t understand why it takes 6-8 weeks to process, when it only takes minutes to check all your credit history and put you in a vehicle. I was told by the corporate office that they had not received the paperwork. Mr. Borque states he has sent it and now â€œ itâ€™s out of his handsâ€!",2.2,41,Texas_without_threshold\BMW5 Reviews of BMW of Beaumont.csv
4543,09-Jan-20,add $1500 warranty to the Fiat 500 I bought without my acknowledgement. It's been a painful experience to ask for a refund. Had to go there multiple times and they just wouldn't do it until I left google review and threaten with my attorney.,1,326,Texas_without_threshold\Chrysler44 Reviews of Dallas Dodge Chrysler Jeep RAM.csv
1262,16-Dec-19,"Thos dealership just ripped me off for $1600.00 Dollars on an extended warranty refund. I traded in the vehicle BEFORE the factory warranty EXPIRED..... So they decided to refund 21 percent of a COMPLETLY UNUSED UNACTIVATED extended warranty.
DO NOT BUY HERE.",1,81,Texas_without_threshold\Buick24 Reviews of Hiley Buick GMC.csv
8189,14-Dec-19,"Short version...I went in to make a deal on a 2019 Hyundai Santa Fe but could not come to an agreement with Garry, mainly because of the $500 Kahu tracking device they supposedly already put on the car (even though they just received the car and it hadn't even been detailed or service) and could not remove. He said it adds value to the car and insurance companies will give discounts for having it. Well I asked my insurance broker and he said most insurance companies do NOT give a discount. My daughter does not need to spend $500 for something that is worthless to her but apparently Grapevine Ford forces on you, period. After spending an hour there Garry said he could come off the price of the car $500 and reduce the cost of the Kahu theft recovery system to $251 and then told me that he couldn't take my deposit money to hold the car anyway, until my daughter got in town. I told them in the beginning that this I was helping my daughter find a car and she wouldn't be in town for another week. Why did he waste an hour of my life if he already knew this! Then a couple of days later Dustin calls me (the original sales manager who wasn't working when I went back the second day to put money down) and asked what he could do to earn my business. I told him all I was asking was to come down $500 (off a $27,500 car by the way) and remove the $500 Kahu system. He told me he would see what he could do and call me back. Well it's been 4 days and he never called back. My daughter will be in town tomorrow to purchase her ""new"" car so we're headed to Austin to purchase basically the same car with a few thousand more miles for $1,300 less. Oh and with no dealer add-ons forced on us!
I would recommend not wasting your time at this dealership, they play the typical games of ""used car salesman"". There were multiple other hardline ""sales tricks"" they tried using but I don't want to write a book. 
And please do not follow up on this review saying how sorry you are, to please call you and tell you more about my horrible experience. My job is not to help you make your sales team better.",1,475,Texas_without_threshold\Ford125 Reviews of Grapevine Ford Lincoln.csv
9710,09-Dec-19,"I donâ€™t want to give them one star.   I am actually stunned by the treatment I received. I have a 2018 Ford Escape.  I had the engine replaced when it had only 11,000 due to a warranty covered issue.  I was out of my car for 30 days.   At 21,686 miles the check engine light came on again and I tried to get my car in to be looked at.      The manager Hawk knows me by sight.  However the tech assigned to my car was joe.  Joe pulled the code and it was the exact same code it pulled with the first engine change.  Which almost always means the same issue is going on.  He proceeded to tell me that it code be rodent damage and that they wouldnâ€™t be able to look at it until the next week and that I would have to get a rental.  They told me there would be a deposit and taxes due. I told them that they are obligated to put me in a loaner because itâ€™s most likely a covered warranty issue. (Due to history) also itâ€™s a  known issue  and rodents do not go near the cylinders.  And that particular code is never related to rodent damage.  I asked them to please cover the rental, but they said no.  They could refund me the deposit and the taxes,  or the rental place would refund it. (I have never ever been refunded for rental deposits-and I put gas in the car and I donâ€™t leave trash in the car.)  After speaking with another â€œmanagerâ€ on the phone after I left the dealership because I was upset and decided I would wait another day or two.  I spoke with another dealership and they told me they would take my car and put me in a rental with a 50 deposit and no taxes.  I went ahead and called this dealership back because normally I get better treatment and I try to stay loyal.  I was told that their would be a deposit only.  But they never said how much.  When I went in to drop my car off they told me it would be 200$ deposit.  And the person proceeded to tell me that he told me the amount on the phone.  I never would have agreed to come in for that amount.  I want everyone to know that this dealership is full of thieves and liars.  And I will never ever visit Frisco autonation again.  They have lost my business and I will make sure to tell every single person I know that service is terrible and they knowingly sell cars with defects.   Also, by the way. My car does need a new engine.  So, your poor treatment was rude and uncalled for.",1,574,Texas_without_threshold\Ford55 Reviews of AutoNation Ford Frisco.csv
9214,07-Nov-19,The finance team at this dealership is full of crooks. They blatantly lie about the service policies they sell you and as soon as you realize and fill out the paperwork for a refund you never hear back from them. I have made so many calls and left so many voicemails that they refuse to return. I received confirmation of the cancelled policy 3 months ago and they have still yet to issue the refund check I am entitled to. ,1,550,Texas_without_threshold\Ford39 Reviews of North Central Ford.csv
9711,10-Oct-19,"I sold the used care I bought from them within 3 months and am due a refund of my extended warranty and maintenance plan I purchased.  I supplied the dealer with all the appropriate paper work, including the form saying the car was paid off in full, so the refund would come directly to me.  Its been 6 weeks and nothing, and when I call to inquire, I get know answers.  It amazes me how when they are taking your money they are all over it, but when they owe the consumer money it takes for ever to get your HARD EARNED MONEY BACK.  xxxxxxxx.",1.8,574,Texas_without_threshold\Ford55 Reviews of AutoNation Ford Frisco.csv
