,Date,Reviews,Ratings,Serial
21,27-Jun-17,"I've have a relationship with this dealer for almost 20 years.  I no longer trust them.  Everyone in the used car department is in on the scam.  I visited them to buy a truck.  Don pressed me to make an offer on one on the lot so it did.  He did not pass it on the the sales manager (Mr. Brooks) so when I was presented with a purchase agreement, there was no indication that my offer was relayed.  Further, the price of the truck on the sales agreement was now $6,000 higher than advertised .  Outrageous considering Mr. Brooks convinced me to come back after the truck wouldn't start for a test drive saying he would 'make me a deal' in light of the failure.  Bait and switch.  I walked away.  Two weeks later the same truck is still listed everywhere (Cars.com, Autotrader.com, and their own website) but now FOR THE PRICE I OFFERED.  I went to them to initiate the sale the day after the price was changed but was told it was sold two days prior.  In essence the price was changed but the truck was not on the lot any more and they had no intention of selling it at the advertised price.  That is Fraud!  These people are scam artists from the top down.  No honor.  Please don't waste your time.  I certainly won't waste any more of mine.",1,1
30,30-Dec-16,"I have only written a few reviews in my life and tend to be positive but this was a HORRIBLE experience!!!! My wife did not want to go with me to look at cars any more after this experience which says a lot! She used to get her car inspected there. NOT ANY MORE! 
 I went in to look at a car a while back and they asked what my budget was. I said 10-11k but if it was exactly what I wanted then I might could do 13k. The salesman said I think I have just what you would like, a 2015 Corolla with all the bells and whistles and low miles. I asked how much it was and the guy said $13,000 something but dont worry it will be in budget.
I test drove the car to pick up my wife at their suggestion and liked it so they ran the #s for me and the car was over 15k? I asked why it was not 13 like he said and he could not give me a straight answer and had his manager come over. The manager was condescending, ignoring the salesmans statements of it being 13k (maybe that was the negotiable price but they did not start there). 
The manager finally started trying to negotiate a price lower and wanted to run my credit. I told them I didnt want them to run my credit and that I knew it was over 700 and would be fine. The manger said if I put in my info and social security (which I should have not done) they could do a soft pull that would not affect my credit or show up on reports. I asked again and he said I promise. Next day I looked and sure enough a hard pull is on my credit for the next 2 years. That was a manager that blatantly lied! 
We tried to leave and he kept trying to make a sale and got more condescending acting like I was being stupid and mean to them for not buying from them and that I should ""work with them on the price"". If he was honest, upfront and serving my needs instead of his own and got me that car at 13k  I would have been happy but I told him that I had options and didnt have to use him. 
They offered me a horrible value on my truck to top it off when they were suppose to be giving ""top value""that day. I also heard their sales pitch to multiple people while there.
Another manager texted after I left wondering what was wrong. I said that their managers are lieing and he He said they would make me
They ask you what your monthly budget is and then ask if you could budge just a little bit to get a better car. Same pitch every time to get you to spend more instead of meet your needs and stay in budget. Go somewhere else and save your money. My brother had a horrible experience as well which I found out after the fact. 
",1,1
41,29-Aug-16,"At 9 months pregnant on bed rest I requested quotes online for the vehicle we were looking for before making our way out to a dealership to finalize.  I spoke with Bruce Phillips at least 3 times to confirm the price quoted and the details, leaving no ambiguity to chance.  I also asked for this to be a fast process as I was to be on bed rest but we wanted to finish the car buying before delivery. He would not provide a written quote due to concern with another dealer matching it that would have been closer to us in Dallas.  Fair I understand the logic. 
Trekked our way to the dealership for a 3 pm appointment, Bruce confirmed our price again but then handed us off to another representative at 4, until then we were just waiting.  Mike Weide took us on a test drive then sat us down for pricing.  The price quoted was no where found on the sheet (not even the subtotal), Mike told us Bruce must have misunderstood what out the door pricing means (really?).  We went back and forth and were able to get the subtotal to the price we initially were quoted for ""out of the door"".  Mike guaranteed us we would not find a better deal anywhere, actually laughed when we said we had a better deal from other dealerships who clearly understand what out the door means, he guaranteed us there was ""no way"" as he is the fleet manager (this is not on his business card).  So 3.5 hours later we left with a business card with a hand written quote on the back.   Same day we got the deal we had told Mike we had at another Acura dealer, WITH the add-ons Mike was trying to charge for.  I have never been so disappointed in a car buying process, this is my 3rd new car purchase.  It is unfortunate how little trust you can put in some people, the dealership where we ended up purchasing was honest, accommodating and extremely helpful so all is not lost.  Mac Churchill however has some customer service issues they need to work on if you compare their reviews on yelp. google and dealer rater compared to the other Acura dealers.  Take heed.",1,1
61,22-Dec-15,"This place is run by a bunch of unprofessional people  in suits. I can't believe a premium brand like Acura is dealing with these guys. They'll promise you any price that you offer by phone/email just to  get you in the dealership and then will totally do a bait and switch. They have no respect for others time and just want foot traffic in the dealership. I emailed my offer which was promptly agreed to. I even called before getting there just to confirm they'll honor the price I quoted. After doing the test drive they won't even want to talk about what they agreed for.
If you think my offer is too low then why the xxxx can you not let me know before I get there?

Absolutely terrible dealership. If you are going to shell out 40k for a car, buy it from a dealer who can stand by their words and have some professional integrity.",1,1
91,05-Jan-15,"I bought a used vehicle from Mac Churchill and had multiple major issues with the process. Besides not receiving any documentation on the bumper to bumper warranty (even when directly asking), them not honoring a WE OWE for major repairs and failing to cancel my maintenance contract when they repeatedly said they would; The biggest issue is that they inflated the negotiated base sales of the vehicle by $1,500.00 on the sales contract and they lied when directly asking about it. Paul Garrett said there are ""fees rolled into the back-end"". I signed the contract and later found out this is completely false and they flat out jacked the price out on me. When I called their bluff and provided evidence to show they blatantly increased the price, they made up a new contract and said they would submit it to my lender. I went in on several occasions over the next few months and talked with many different finance reps including the assistant finance director Ali. All of them promised the second contract was sent to the lender. After 3 months of demanding why they have not made good on their promise and why my lender still reflected the inflated amount, I finally got to sit down with the Finance director Ray. Ray admitted that they had not sent in the second contract and that there was ""nothing he could do because it was too late"". These guys flat out committed fraud, lied to brush me off and are not offering a resolution. If you want my opinion.... DO NOT BUY FROM HERE!! READ BETTER AND MORE ACCURATE REVIEWS ON YELP!!!!",1,1
173,07-Aug-10,"On May 13, 2010, I went to Mac Churchill Acura in Fort Worth, Texas to purchase the advertised 2010 Acura TL SH AWD w/TECH at the advertised price of $6.  There were not any restrictions, stipulations, or limitations stated in the ad. 

It is my understanding that the law states that a dealership cannot sell a vehicle for more than the advertised price (even if the customer is unaware of the advertised price.) 


I am of the opinion that the $6 price is a mistake someone knew they were making.  It is marketing strategy for the purpose of getting customers to buy something else, or in this matter the same vehicle at a higher price.

To add further insult to injury, my character was defamed by representatives of the dealership in writing.
",1,1
181,24-Jun-17,"I inquired about an MDX at 40,997. Got a response and all was well. All the sudden there was a ""mistake made"" and the car price was raised to 44995. Autonation audi plano does not stand by their advertised prices. Bait you with one price, switch it to another.",1,2
190,05-Jan-16,So I went in to look at a Q3 and was shown several trim levels all of which I didn't like. I wanted blue with two tone interior. I was told what was the price I would settle for to be color blind to a car trim levels didn't like. Then to find out all along the car I was interested in was in back lot. Then it gets worse dealer didn't want to budge on price and was trying to overcharge me for 400$ window tint way over priced. While I was waiting I contacted Audi of Dallas and got fully loaded Quattro for the price of a stripped Q3 along with free window tint and free rubber floor mats. No fighting over price or add ons. Just make the drive to Audi of Dallas I know it's out of the way but it was worth it...,1,2
302,06-Mar-19,"West Point GMC Buick uses a bait a switch sales technique.  They offer a low price and add extra ""security fees"" and say that you don't qualify for the ""trade in incentives"" even though they knew I did not have a trade in.   I've bought many cars from dealerships before and this was by far the worst experience I've had.",1,6
314,22-Sep-14,"I had a really poor experience at West Point. I believe the name of my salesman was Echo or Etko. I came in to to a 2009 BMW 750LI. It was originally listed on Ebay for 29k, a vehicle with 50k miles. I found that to be the best bargain online and I called in immediately. I originally spoke to a gentleman name Jay and he was very helpful and informative. However my schedule and his conflicted and unfortunately had to deal with Echo. I test drove the vehicle, the BMW had a some type of battery issue and was less than a perfect ride. Even still I figured we can work out a deal, get some of those minor issue corrected and still drive home with a new car. 

Upon working the deal Echo attempted to sell the car to me for about $5000 more than what the advertised price was even AFTER I told him the special. He goes back and comes back and still tries to sell it to me for about $2000 MORE than what the advertised price was and basically write the original arrangement off claiming that whoever listed it for so cheap ""could loose their job"". I was less than amused.

When asked if I could take the BMW to a BMW dealership and have it checked out he said I would have to wait until monday and if there is any other issues that they will not be willing to fix it or address it. 

It was very clear than when he realized he was not going to be making nearly as much on the deal as he hoped he became very short, impatient and downright rude. I asked about warranty and he threw some number at me and wouldnt let me speak to a manager. I really wish I wouldve seen Jay that day and maybe things wouldve been different. ",1,6
343,03-Jan-14,"I was sold a used vehicle that had been wrecked and it was not disclosed to me. I returned to the dealership and they said they would not buy it back and would only take it in on trade at their dealership. I had it for 8 months and they gave me 5,000.00 less than I paid for it. The staff advised me they didn't know and I didn't know so it wasn't their problem. The manager then advised me they made good money selling the car to me and laughed. The dealership would not return my calls and I had to drive back to the dealership to get the problem resolved. They then told me they would sell me a car at cost which they hassled me about until I seen the actual cost price and it was 1,300.00 less than what they quoted me. It was an all around mess and they didn't care. Think twice before using this dealership. My family has bought over 80 vehicles from this dealership and they acted as if they could care less.",1,7
394,31-Jan-17,"Been a regular Customer for over 25 years. Since I'm retired I was looking for a toy.
I asked my son to go and  check out a camaro which was advertised on the net. I trust my son's review on the phone and told him to get a trade in offer on my Hyandai which was done and accepted by me. Camaro price was right in my budget with the trade.
All I  requested was for Finance, to get the paperwork together for me to come in to sign the agreement and take possession of the car.
They waisted the whole day with nonsense requests and at end of day said they would not sell me the car as they feel it was for my son and not me.
Unfriendly sales manager whom I was referred to by the general manager whom I know for years. 
Not only an embarrassing result but a horrible experience.

",1,10
459,05-Oct-14,"This would have been my second vehicle purchased here. First one was a 2010 Z71. Went to the dealership to purchase a 2014 Silverado which I found on the internet advertised for $29,000. I found the vehicle on the lot then went in the building to find a salesman. When I told him which vehicle I was interested in he let us take it for a test drive. We sat with him and he linked to the website and said it was a great price for the truck with a number of  rebates and incentives. After I said I would like to purchase the vehicle he went to the sales manager and came back and said the vehicle was now $38,000. Additionally, they will REALLY ""low ball"" your trade without anyone physically looking at your trade-in. They also added $3000 to my amount owed on my trade-in and I guess they didn't think I would really look  at the numbers. I didn't get a chance to meet the manager but it seemed like real shady business while I was there and will not be returning to the dealership nor will I recommend this dealership to anyone else. ",1,11
503,28-May-13,"Horrible Service! Salesman gives us the ""lowest quote possible"", then come to find out on their own website lists the truck for $3,000 less! When we told them how much we wanted to pay a month for the truck, the manager Chris called us at home and told us a certain price that we ended up agreeing on. We talked to the Salesman Brian over 3 times in one day discussing finance and telling him that we are going to come in after work to sign the paperwork and pick up the truck, but then on the way over the salesman calls us back and tells us the quote they gave us was for another vehicle, even though all day long we had discussed the price for the original vehicle we wanted. During this conversation the salseman allegedly had a ""dropped call"", but then wouldn't answer the phone anymore when we called him back. Called the manager again and he said we were mistaken and that they weren't going to honor the deal!!! Absolutely horrible customer service, will not recommend and will never use again!",1,12
554,03-Aug-19,"My son and I went to Stonebriar Chevrolet to look at a 2013 Chevrolet Silverado they had advertised on the internet. Upon arrival at the dealership our sales person said the advertised price did not include almost $1000 in “dealer added extras” like window tint, wheel locks, etc. We told the sales person and the sales manager we did not want the “extras” and asked they be removed except for the window tint which was “already done”.   
We bought the vehicle with an added cost of $395 for the window tint. 
The next day my son called to let me know we had been snookered!  Upon closer examination it was clear the window tint was not a “dealer added extra”.  The vehicle had already had the windows tinted which was made obvious by the many small scratches and dings in the tint from the seat belt buckle hitting the window by the previous owner!  So, buyer beware at Stonebriar Chevrolet when you are told the advertised price of a used vehicle does not include ”dealer added extras”.  ",1,14
557,21-Feb-18,"BEWARE of the unethical “Bait and Switch” sales technique used at this dealership! I was a victim of it!! The Internet Sales Manager sent a photo of a truck and the price for THAT truck to me after I signed up with a search service online. I went to the dealership the next day and test drove THAT truck. Since the Internet Sales Manager was not in, another salesperson helped me. After the test drive, I said I’ll take the truck – it was what I wanted and the price was fair. Once we sat down to do the paperwork the salesperson then told me the price would be almost $1000 MORE since they ""forgot to add some options into the price""! WHAT???? They “Bait” me with the photo, test drive and price then “Switch” the price when I say I’ll take the truck! TOTALLY UNETHICAL!! I excused myself for a moment and called my wife who said to RUN from that SCAM DEALERSHIP!! Since my emotions were already involved and I liked the truck I asked if they could do anything about the increase that wasn’t in the original price they quoted to me for THAT truck. The salesperson went to a “Manager” who came down a few hundred. I went ahead and purchased the truck, but felt they ripped me off during the whole process. Once I got home, the process really kicked in! The dealership provided no satisfactory resolution other then to bring the truck in and REMOVE the options. BUT THEN it would NOT be the truck they showed me nor  the one I bought! Per the salesperson, this is a  WARREN BUFFET company owned dealership.  I can only wonder if HE authorized this unethical sales technique. No wonder he’s so rich – SCREW THE COMMON HARD WORKING MAN!! Way to go Warren...mission accomplished!!! The salesperson also lied to me about ""you get two years of FREE oil changes and tire rotations"". WRONG!! I later learned I get TWO OIL CHANGES within the first 24, 000 miles or 2 years....whichever comes first. I like GM products, but this sales channel and experience was AWFUL!",1,14
