,Index,Date,Reviews,Serial,review_proc,Spot Delivery
2,62,28-Nov-15," Started out by quoting a higher price with a higher interest rate even though we came in with our own financing at a much lower rate. Only dropped their price once we receive the call from a competing dealership for a lower price. Even after we agreed on price, trade in and down payment they still try to finagle a higher number in financing. They'd already swipe our card for down payment and took our check to hold for 3 days and made it hard on us to get that number changed. The check that was supposed to be held for 3 days was deposited next day causing overdraft fees in our account. Two weeks later we're still waiting for refund and paperwork on vehicle transaction and no one is calling us back. Also, salesman had us do Google review in front of him before car was delivered to us pressuring for a 5 star review. It makes me wonder how many of their 5 star reviews are really accurate. If they do this with all customers.....",1,started out by quoting a higher price with a higher interest rate even though we came in with our own financing at a much lower rate only dropped their price once we receive the call from a competing dealership for a lower price even after we agreed on price trade in and down payment they still try to finagle a higher number in financing theyd already swipe our card for down payment and took our check to hold for days and made it hard on us to get that number changed the check that was supposed to be held for days was deposited next day causing overdraft fees in our account two weeks later were still waiting for refund and paperwork on vehicle transaction and no one is calling us back also salesman had us do google review in front of him before car was delivered to us pressuring for a star review it makes me wonder how many of their star reviews are really accurate if they do this with all customers,1
4,91,05-Jan-15,"I bought a used vehicle from Mac Churchill and had multiple major issues with the process. Besides not receiving any documentation on the bumper to bumper warranty (even when directly asking), them not honoring a WE OWE for major repairs and failing to cancel my maintenance contract when they repeatedly said they would; The biggest issue is that they inflated the negotiated base sales of the vehicle by $1,500.00 on the sales contract and they lied when directly asking about it. Paul Garrett said there are ""fees rolled into the back-end"". I signed the contract and later found out this is completely false and they flat out jacked the price out on me. When I called their bluff and provided evidence to show they blatantly increased the price, they made up a new contract and said they would submit it to my lender. I went in on several occasions over the next few months and talked with many different finance reps including the assistant finance director Ali. All of them promised the second contract was sent to the lender. After 3 months of demanding why they have not made good on their promise and why my lender still reflected the inflated amount, I finally got to sit down with the Finance director Ray. Ray admitted that they had not sent in the second contract and that there was ""nothing he could do because it was too late"". These guys flat out committed fraud, lied to brush me off and are not offering a resolution. If you want my opinion.... DO NOT BUY FROM HERE!! READ BETTER AND MORE ACCURATE REVIEWS ON YELP!!!!",1,i bought a used vehicle from mac churchill and had multiple major issues with the process besides not receiving any documentation on the bumper to bumper warranty even when directly asking them not honoring a we owe for major repairs and failing to cancel my maintenance contract when they repeatedly said they would the biggest issue is that they inflated the negotiated base sales of the vehicle by on the sales contract and they lied when directly asking about it paul garrett said there are fees rolled into the back end i signed the contract and later found out this is completely false and they flat out jacked the price out on me when i called their bluff and provided evidence to show they blatantly increased the price they made up a new contract and said they would submit it to my lender i went in on several occasions over the next few months and talked with many different finance reps including the assistant finance director ali all of them promised the second contract was sent to the lender after months of demanding why they have not made good on their promise and why my lender still reflected the inflated amount i finally got to sit down with the finance director ray ray admitted that they had not sent in the second contract and that there was nothing he could do because it was too late these guys flat out committed fraud lied to brush me off and are not offering a resolution if you want my opinion do not buy from here read better and more accurate reviews on yelp,1
414,146,25-Jun-12,"I bought new Acura TL at around midnight, so I did not read all of that service agreement as it was about 11PM and wanted to go home soon. I just believed whatever Armando told me and signed it. He explained me some package that consists of service contract and insurace comes for $750 for five years, so I said ok. Next day I was going through all of the documents given to me, I was shocked to see that they charged me $7700 for the package what they told me was $750. I went to Armando and asked him about that, now he says thats your monthly payment not for 5 years. I feel like it's fraud happend with me. I put a cancellation request, but nothing happend till now.",1,i bought new acura tl at around midnight so i did not read all of that service agreement as it was about pm and wanted to go home soon i just believed whatever armando told me and signed it he explained me some package that consists of service contract and insurace comes for for five years so i said ok next day i was going through all of the documents given to me i was shocked to see that they charged me for the package what they told me was i went to armando and asked him about that now he says thats your monthly payment not for years i feel like its fraud happend with me i put a cancellation request but nothing happend till now,1
434,167,08-Jul-11,"The thought of buying my first car was exciting until I ended up getting taken advantage of by their salesman. The salesman guaranteed the car himself and for Mac and said the car had been inspected and there were no problems, I made it clear that me and my baby would be in this car all the time so it needed to be safe. He knew I didn't know much about fixing or even buying cars and so I end up getting stuck with an 02 MDX that has wharped rotors, the rear a/c won't blow and things seem to fall off randomly (a/c vents, rear view mirror, etc...) Onay was so persistent in selling this car to me that he had my husband cosign without being there  OR signing papers. I didn't even have insurance for the vehicle! Now the bank calls me and tells me I neeed full coverage not liability and once again I'm a first time buyer, he knew that and didn't tell me...Now my loan is not finalized and I had a trade in w/ down payment. I DIDN'T EVEN GET MY CONTRACT PAPERS! So I called the director of sales and he tells me that I can give the car back but now my credit will be ruined and I can't get another car? I guess they just like to treat people like dirt!",1,the thought of buying my first car was exciting until i ended up getting taken advantage of by their salesman the salesman guaranteed the car himself and for mac and said the car had been inspected and there were no problems i made it clear that me and my baby would be in this car all the time so it needed to be safe he knew i didnt know much about fixing or even buying cars and so i end up getting stuck with an mdx that has wharped rotors the rear a c wont blow and things seem to fall off randomly a c vents rear view mirror etc onay was so persistent in selling this car to me that he had my husband cosign without being there or signing papers i didnt even have insurance for the vehicle now the bank calls me and tells me i neeed full coverage not liability and once again im a first time buyer he knew that and didnt tell me now my loan is not finalized and i had a trade in w down payment i didnt even get my contract papers so i called the director of sales and he tells me that i can give the car back but now my credit will be ruined and i cant get another car i guess they just like to treat people like dirt,1
442,176,26-Nov-19,"Very bad dealership. Not happy with them at all.
I bought a car from them, the car had some damage in the hood and bumper. It was showing nothing in the CarFax report which was really strange.

Business usually run on trust, my biggest mistake was trusting them.

They made me test drive a different car claiming that my car would have the exact same feature, which it did not.
They made me wait for a month to get the car(told me it would take a week to fix it), made me sign the contract for the car before the car was fixed and also said that my 5 car trial period would start after my car was fixed and I get my car.
Since my car didn't have the feature it was promised, I went back to return the car and they said that my 5 day trial period started the day I signed the contract.

They are not giving me my down payment money and keep stalling me.
Even Up to today, it's been more than 3 weeks that I have asked for a refund, they keep stalling me saying they can do nothing.

This dealership is shady. I suggest you not to go there. 

This was the first car I was buying with hard-earned money, they just made it a really bad experience for me.",2,very bad dealership not happy with them at all i bought a car from them the car had some damage in the hood and bumper it was showing nothing in the carfax report which was really strange business usually run on trust my biggest mistake was trusting them they made me test drive a different car claiming that my car would have the exact same feature which it did not they made me wait for a month to get the car told me it would take a week to fix it made me sign the contract for the car before the car was fixed and also said that my car trial period would start after my car was fixed and i get my car since my car didnt have the feature it was promised i went back to return the car and they said that my day trial period started the day i signed the contract they are not giving me my down payment money and keep stalling me even up to today its been more than weeks that i have asked for a refund they keep stalling me saying they can do nothing this dealership is shady i suggest you not to go there this was the first car i was buying with hard earned money they just made it a really bad experience for me,1
946,718,24-Aug-12,"Poor customer service. Horrible communication. Lack of care for customers concerns. Was told ""nobody made you buy the car"". Even management brushed me aside. Inconvenienced to leave work on two separate occasions and drive alll the way across town because documentation was required that was not brought to my attention until that day. Was told my loan was not going to be funded until 3 days after I had the vehicle, which I later found out was a lie. Was told I could not cancel the transaction and get my trade back even though ""the loan was not going to be approved"". Too many lies from this company just to make a lousy sale. ",17,poor customer service horrible communication lack of care for customers concerns was told nobody made you buy the car even management brushed me aside inconvenienced to leave work on two separate occasions and drive alll the way across town because documentation was required that was not brought to my attention until that day was told my loan was not going to be funded until days after i had the vehicle which i later found out was a lie was told i could not cancel the transaction and get my trade back even though the loan was not going to be approved too many lies from this company just to make a lousy sale,1
1073,848,03-Sep-18,"This was the worst car buying experience ever. I was even a car salesman myself once, and I have never seen a lower of level of shady than at Gulfgate Dodge. 

They pull the bait and switch with their internet sales prices. beware! then they try and add ""accessories"" to the sales price of the vehicle. 

then, not telling me what you will give me on my trade before knowing the payoff. remember, they are going to give you what they are going to give you, regardless of what you do or do not owe on your trade in. 

then finance is even shadier, adding points to the interest rate of the loan and trying to convince someone with an 850 credit score that 6% is Chryslers best rate. 

do your homework before coming here. do not pay for ""accessories"" and get your own financing if possible. 

also, be prepared to spend countless hours going back and forth on pricing. and pay attention to how they are structuring your deal!

Then be prepared for the new vehicle to not get detailed or washed. We had to wait another day for delivery for a battery to be changed! ",18,this was the worst car buying experience ever i was even a car salesman myself once and i have never seen a lower of level of shady than at gulfgate dodge they pull the bait and switch with their internet sales prices beware then they try and add accessories to the sales price of the vehicle then not telling me what you will give me on my trade before knowing the payoff remember they are going to give you what they are going to give you regardless of what you do or do not owe on your trade in then finance is even shadier adding points to the interest rate of the loan and trying to convince someone with an credit score that is chryslers best rate do your homework before coming here do not pay for accessories and get your own financing if possible also be prepared to spend countless hours going back and forth on pricing and pay attention to how they are structuring your deal then be prepared for the new vehicle to not get detailed or washed we had to wait another day for delivery for a battery to be changed,1
1103,879,14-May-18,"I drove  4 hours to come buy 2018 Charger Hellcat with already approved financing from my bank. Upon my arrival the finance manager started to delay the process to where when it was time they needed the transfers instructions the banks were closed and I was being manipulated to where if I wanted to buy the car I had to get the financing through the dealership at their APR %. The Finance guy George Nabbout and Sales Manager Ryan Martin were very uncooperative, unhonest and very unethical. These guys gave me the run around for hours and doing everything they could to get me to finance the car through the dealership or the deal was off.",18,i drove hours to come buy charger hellcat with already approved financing from my bank upon my arrival the finance manager started to delay the process to where when it was time they needed the transfers instructions the banks were closed and i was being manipulated to where if i wanted to buy the car i had to get the financing through the dealership at their apr the finance guy george nabbout and sales manager ryan martin were very uncooperative unhonest and very unethical these guys gave me the run around for hours and doing everything they could to get me to finance the car through the dealership or the deal was off,1
1627,1429,08-Aug-15,Traded in car bought a new car almost 30 days later old car is still not paid off no one give good answers just tell me don't worry about it they are taking car of it. Finance company with old vehicle shows late and now putting late charges of vehicle. Person I work with had this very same thing happen on their car at the same dealer two days before me.,26,traded in car bought a new car almost days later old car is still not paid off no one give good answers just tell me dont worry about it they are taking car of it finance company with old vehicle shows late and now putting late charges of vehicle person i work with had this very same thing happen on their car at the same dealer two days before me,1
1710,1520,01-Jul-15,"Do not shop at Maxwell. Never by a vehicle from David Terrell. I bought a brand new F 250 from this dealership and regret every bit of it. David lied to me so that I would finance the truck when I could have paid cash. He insisted that the rebates were only available if I financed through Ford Motor Credit. LIE!!!!!!!!
Then he told me I had to keep my loan for at least 3 payments before I could pay it off. LIE!!!!!!!
The guy in finance pulled the ole Bait and Switch with my interest rate.
This dealership is a scam.",27,do not shop at maxwell never by a vehicle from david terrell i bought a brand new f from this dealership and regret every bit of it david lied to me so that i would finance the truck when i could have paid cash he insisted that the rebates were only available if i financed through ford motor credit lie then he told me i had to keep my loan for at least payments before i could pay it off lie the guy in finance pulled the ole bait and switch with my interest rate this dealership is a scam,1
1731,1542,05-Nov-10,I purchased my vehicle and was asked to return to redo the contracts several weeks later because the financing had some problems and fell through.  The deal I made did not go as discussed with the finance manager and I would recommend that potential customers shop around before committing to this dealership.  I have had much better experiences with other ford dealers in the area. If you must purchase your vehicle from Maxwell then get your financing through a credit union... which in retrospect I wish I had done.,27,i purchased my vehicle and was asked to return to redo the contracts several weeks later because the financing had some problems and fell through the deal i made did not go as discussed with the finance manager and i would recommend that potential customers shop around before committing to this dealership i have had much better experiences with other ford dealers in the area if you must purchase your vehicle from maxwell then get your financing through a credit union which in retrospect i wish i had done,1
1859,1679,25-Jun-16,The salesperson Alexander Popp was unprofessional. He was pissed he didn't make any money off the sale. When I told the salesperson that I was approved by my credit union for 2.99% he said we can give you the same rate and they make commission by financing thru the bank if he can get the sales price lowered. I said 'Ok'. The salesperson comes back with a 5.99% and showed me my credit rating.  I stated 'Why would I finance for 5.99% when I've been approved for 2.99%.  The salesperson Alexander Popp stated 'your credit is not good and it’s no way you could have gotten a 2.99%'. I don't give a xxxx if my credit is a 200 I'm not going to drive across town to buy a car with bad credit. If I'm approved for a 2.99% that is all you need to know. If it wasn't for the fact I liked that car you wouldn’t have never gotten my business. Not to mention the sorry salesperson didn't walk me thru the features of the car and there was NO car manual in the glove compartment. Thank you for your unprofessional service.,30,the salesperson alexander popp was unprofessional he was pissed he didnt make any money off the sale when i told the salesperson that i was approved by my credit union for he said we can give you the same rate and they make commission by financing thru the bank if he can get the sales price lowered i said ok the salesperson comes back with a and showed me my credit rating i stated why would i finance for when ive been approved for the salesperson alexander popp stated your credit is not good and it s no way you could have gotten a i dont give a xxxx if my credit is a im not going to drive across town to buy a car with bad credit if im approved for a that is all you need to know if it wasnt for the fact i liked that car you wouldn t have never gotten my business not to mention the sorry salesperson didnt walk me thru the features of the car and there was no car manual in the glove compartment thank you for your unprofessional service,1
1876,1697,01-Jul-15,"
TOTAL SCAM ARTISTS! They lied and told us that we couldn't afford the car we wanted. They lied to us about our interest rate to bring up the cost of the car we got stuck with. They kept us there 6 hours while they goofed off in the glass office. (WE CAN SEE YOU JERKS!!!!) They lied to us about our ""Great"" Gap insurance package. And we bought the car on May 23rd, 2015. It is now July 1st! AND WE STILL HAVE NO CAR!!!!!!! They are unwilling to let us out of our contract and our first car payment is on July 7th...and did I mention WE HAVE NEVER GOTTEN THE CAR!!!!!! They said that they would only buy back the car, but we would lose $8,000 on the deal which includes our down payment for another car.
",30,total scam artists they lied and told us that we couldnt afford the car we wanted they lied to us about our interest rate to bring up the cost of the car we got stuck with they kept us there hours while they goofed off in the glass office we can see you jerks they lied to us about our great gap insurance package and we bought the car on may rd it is now july st and we still have no car they are unwilling to let us out of our contract and our first car payment is on july th and did i mention we have never gotten the car they said that they would only buy back the car but we would lose on the deal which includes our down payment for another car,1
1881,1702,29-Oct-14,"Our experience was horrible at best.  We came up on 10-21 and test drove a vehicle and filled out financing paperwork.  We returned on 10-22 to purchase the vehicle.  The original salesperson that we had spoke to on the phone and for our test drive was off on the day we returned to attempt to purchase the car.  We were lied to about the cost and where the car we wanted had to be picked up from.  We were told they would have to go to Dallas to pick up the car and would cost close to 1000.00 to pick it up. In reality, they really went to Five Star Ford to pick it up.  We were lied to regarding financing and not treated with respect.  The Sales and financing staff members were very condescending and arrogant.  We were passed to so many different people that the vehicle and components for our purchasing kept getting changed.  We were told we were not approved by Ford Motor Credit, and could get a higher financing rate without all the rebates, yet had it in writing from another dealership that we were approved with all the rebates that a lower interest rate.  The games this dealership played were insulting and very unnecessary.  We left with my wife in tears and totally frustrated.  We watched the sales team laugh at us through the glass windows in their see through office as we got into our car to leave.  We eventually purchased a vehicle from another Ford dealership since they had already approved us through Ford Motor Credit with all the rebates in place that we qualified for that this dealership said we couldn't receive.  Plus the other Ford dealership was very upfront, treated us with respect and had superior customer service.  We will be sending our complaints to Ford Motor, Better Business Bureau and Grapevine Chamber of Commerce regarding our terrible experience with your dealership.  In addition, you need to be aware on whether people really purchase a vehicle from your dealership before you send out thank you letters and surveys.  ",30,our experience was horrible at best we came up on and test drove a vehicle and filled out financing paperwork we returned on to purchase the vehicle the original salesperson that we had spoke to on the phone and for our test drive was off on the day we returned to attempt to purchase the car we were lied to about the cost and where the car we wanted had to be picked up from we were told they would have to go to dallas to pick up the car and would cost close to to pick it up in reality they really went to five star ford to pick it up we were lied to regarding financing and not treated with respect the sales and financing staff members were very condescending and arrogant we were passed to so many different people that the vehicle and components for our purchasing kept getting changed we were told we were not approved by ford motor credit and could get a higher financing rate without all the rebates yet had it in writing from another dealership that we were approved with all the rebates that a lower interest rate the games this dealership played were insulting and very unnecessary we left with my wife in tears and totally frustrated we watched the sales team laugh at us through the glass windows in their see through office as we got into our car to leave we eventually purchased a vehicle from another ford dealership since they had already approved us through ford motor credit with all the rebates in place that we qualified for that this dealership said we couldnt receive plus the other ford dealership was very upfront treated us with respect and had superior customer service we will be sending our complaints to ford motor better business bureau and grapevine chamber of commerce regarding our terrible experience with your dealership in addition you need to be aware on whether people really purchase a vehicle from your dealership before you send out thank you letters and surveys,1
