,Date,Reviews,Ratings
0,"June 22, 2020","I purchased the last three vehicles I owned at Wiesner. The last two were less enjoyable experiences than the one before. 
Don't send them customers. They promise you they will send you $100 bill for every customer they receive from your recommendation. Don't believe it. I sent two customers over and they filled out paperwork stating that I sent them and they refused to give me the $100 for either one.
I took one of my vehicles over to get an estimate for hail damage and they wanted to charge me $50 just for the estimate. This is a vehicle that I bought at their dealership.
Service isn't what it used to be either. The cost of an oil change is now more than $100 and they won't even run it through their car wash for me. They used to do that without me even asking him to do it.",1.6
1,"July 13, 2018","We were in Riverside Texas, June 2018, from Omaha, NE visiting family.  My check engine light came on in my 2011 Chevy Cruze.  We called Wiesner Chevrolet in Huntsville and Chris Lovelady went above and beyond to make sure we could get the car into their service department, get the warranty work approved (replacing entire turbo system), and have our car ready in a very timely matter so we could get home.  The service mechanics and Mr. Lovelady are top notch and we are so appreciative of the extra effort they put in to getting my car fixed.  I would definitely recommend Wiesner Chevrolet.  Thanks again!!   ",5.0
2,"June 01, 2018","On the recommendation of a friend, I took my car to be cleaned and detailed.  Opted for the $40 package.  I was told it would be an hour-and-a-half; no problem.  Two-and-a-half hours later, I inquired about their progress.  It took 15 minutes to find out they had half-an-hour to go.  An hour-and-a-half later, they finally told me my car was ready and someone would bring my car around... Difficult to do since the service desk handed me my keys after I paid.  So that was another wait.  As I was getting into the car, I noticed there were still crumbs in the console, dust on the dash board, and when I opened the back, sand all over the back seat and in the trunk that appeared no attempt had been made to vacuum it.  I went back inside, couldn't find the attendant who had been helping me all day, but someone saw the look on my face and asked if they could help.  When I showed them the uncleaned interior, they said they would take it back and clean it themselves.  30 minutes later, I drove away thoroughly unimpressed with even that job.  I think they gave me the $20 job, gave it $10 worth of attention, and charged me $40 without blinking an eye.  There is still sand in the back seat, and after closer inspection discovered they hadn't even lifted the floor mats when they vacuumed.  I will NEVER go back there for anything, and will certainly never recommend them.",1.0
3,"March 06, 2018",Made appointment on Thursday and dropped off our work truck. Called on Friday and they said they would look at it Monday or Tuesday. Called again on Tuesday. Service tech said he would start after lunch and call me back. Inquired about loaner. He used usual excuse they were all out but he would try. Never heard from him again. Called on Monday. Got put on hold. Left message for service manager. Second one. Called again got general manager. Service manager called me back in 30 minutes. Said he would be looking at truck and would loan us a service truck that had to be cleaned. Called later. Suddenly they had looked at truck and problem was not as bad as they thought. Got call 2 hours later and truck was ready.  So unhappy with service.  They said they had lots of repairs before me. Kept truck for 8 days. Lousy company. Bought truck there but never again.,1.0
4,"October 27, 2016","8 days and a $450 Hertz Rental Car bill later I get a call to let me know that the issue with the vehicle is not covered under warranty. The service department was so busy it took going down to the dealership a second time to even get them to look at it. In 20 minutes they diagnosed the problem, fixed it and charged me $90 for the work. That is reasonable and understand, but the fact it took 8 Days to even look at it is unacceptable and the fact they knew this and put us in a rental car is even worse (Just because its not covered under warranty. I have called multiple times to explain my case and the service guy is nice enough but says there’s nothing he can do.  I would not recommend using this dealership for any service work as they think 8 Days is a reasonable amount of time for your vehicle to be parked before being looked at. Never in my 30 years of dealing with Car dealerships have I ever heard of or experienced this type of service.  Even if this was covered under warranty GM is going to pick up the cost?  I doubt they would have covered all those days.   ",1.0
5,"September 15, 2016",They changed my fuel filter when not needed. After I paid for the fuel filter change service work they said I needed I noticed that they did not reset the fuel filter gauge I still had 37% life based on my vehicles fuel filter monitor. They were not customer friendly at all.,1.0
6,"January 07, 2016",Did you make the Cadillac commercial horrible on purpose!? If I have to hear that annoying slowww voice one more time I'm going to scream. Reprimand the person who came up with this idea and FIRE the person that ok'd it to air!,5.0
7,"September 06, 2015","After buying my last 4 vehicles from Weisner in Huntsville TX I finally bought a new truck that had problems. Had to go thru a big ordeal with Roadside assistance. Horrible experience. Because of Weisner representing this company I asked for a free set of side steps for my truck. As a repeat paying customer and the wait for a courtesy car and the wait for my new truck to be fixed, I feel this was a small request. Mr Cleo  (manager) has not called yet called me back. A repeat customer No More. My  money will go some where where I am appreciated ",2.4
8,"June 06, 2011","We went to the Wiesner location in  Conroe, I could not find that dealership location on the list.  We had Kenny King as our salesman and he was GREAT! I know is it hard to believe that any car salesman would be described as Great but he was exactly that.  He did not play games with us, he genuinely worked very hard to give us what we wanted at the price we wanted and did not try to say oh yea we can do that then change it up once you get all excited etc.  He was literally honest from the beginning and he followed through on the sale all the way till we left there.  I hate dealing with dealerships that push hard and that send one man over to argue that this is the best they can do then another one comes out and tries as well this dealership did not do any of that nonsense.  We are thrilled with the deal we got and love our truck.
Thanks to Kenny I won't hate dealing with buying another vehicle.  I will even send my kids in to go to him to buy their next vehicle.

",4.8
9,"January 01, 2009","I took my 1998 truck in to get a power steering hose replaced as it was leaking. Luckily I had the service dept call with an estimate on cost.  They wanted $400+ to replace the hose.  I asked them not to touch a thing and I went to visit with the service manager.  I told him I couldn't believe it could cost $400 and he explained they had to drain the radiator fluid and remove the A/C compressor to get the hose replaced. I bought the hose, a tubing wrench and fluid for less than $45 and replaced it myself in less than 40 minutes.",1.0
