,Date,Reviews,Ratings,
0,18-Sep-19,"Went here to purchase a vehicle for my daughter for her birthday, and was greeted by a younger salesman. I went to shake his hand and was met with a sweaty, greasy handshake. This was a major turn-off for me, but I continued on with the young salesman. He was extremely immature, and kept making sexual references in conjunction with the vehicles on the lot, saying things like ""I would make love to the Genesis"" and ""The Veloster N is a ride your daughter wouldn't survive"". He kept saying how much he can't wait to get his hands on a Veloster N. Well, I wouldn't let this salesman put his hands on anything, because they are greasier than most cheeseburgers I've ever eaten! I believe the salesman's name was ""Perry"" or ""Pierre"", not quite sure. Either way, I will not be returning to this dealership anytime soon.",1,Disrespectful
2,23-Jul-18,"2012 Genesis will seat belt alarm that would not go off.  61K miles, warranty expired at 60K.  3X to fix then they tried to upsell me with a $2700 instrument cluster with no guarantee it would fix the problem.  I had asked to Hyundai goodwill on the repair and they told me it was denied and would not give me a case # (said there is none),  When I called corporate, with Vin # I received a case number and they never ruled, said dealer withdrew claim.
Final result; repaired by Escondido Hyundai under goodwill with no instrument cluster.  Short in the belt wiring!!",1,Upsold needless instrument
157,13-May-17,"the sales person was very aggressively pushing for stuff that I did not need like LoJack and something else that I don't even know what it was. Initially he was trying to charge me 800$ for LoJack. Wasted time to argue and his trip to his manager to bring it down to 300$. I did not want to pay for that at all, but the sales person lied saying he could not physically remove LoJack from the car, so I had no choice, but to pay for it. Later I found out that it simply had to be digitally deactivated and his statement that he could not physically take it out of the car was misleading at best and simply a lie at worst just to make me pay more for the car. The sales person also insisted that I had to do Hyundai loan at 5.9%. I wanted to pay 100% cash, but again the sales person insisted I had no choice. He did not even mention there was 750$ promo if I go for Hyunday loan, so I did not take advantage of that promo to save 750$. In short, the sales person was a jerk full of lies. My experience sucked - it took several hours to complete the purchase - most of that time spent on price arguments. The car selling industry sucks exactly because of people like that. Hyundai should simply sell cars at their standard prices and take negotiation out of the car buying process. I am very frustrated with my buying experience, thus this negative review.",1,"Extra charge for non optional product, Credit other than cash, "
486,04-Aug-15,Dishonest dealership and dishonest employees. Avoid buying a car from this dealer. You will not be treated with respect and you will not be treated honestly.  ,1,
502,27-May-11,"We ordered a new Elantra Limited edition and asked what would the price be and were told we would have to  pay sticker price since this car was in big demand and short supply.  We gave this dealer a deposit and waited seven weeks to get delivery.   We were called and told that our car had arrived and was ready for us to pick up.

We arrived that same night and started to go thru the paper work and at the very end we noticed that the sales price was almost $800.00 OVER sticker price.  They had added $495.00 for window tinting and the windows were not tinted and $300.00 for sticker that were on all the doors and hood and trunk.  We were told these were to identify the parts in case the car was stolen and somehow got to a chop shop.

When we balked at the increase in cost Todd said he would take off the price of the window tint, but we still had to pay the additional $300.00 for the stickers.  I reminded him of our initial conversation about paying ""Sticker"" price and after being at this dealer for three hours, he told me, ""my position is basically this, if you don't buy the car, I'll just sell it to someone else!""

I have worked in sales all my life and have NEVER treated a customer the way this guy treated me and my wife.  He couldn't care less about charging us more then he agreed on and wasn't apologetic in any way.   Very rude, especially for a so called General Manager!   If you go to this dealer, get everything in writing first and then hope for the best!   We went to Escondido Hyundai the next day and got the same car with no extra charges and we were treated like ""Real Customers""",1.3,
303,04-Oct-16,"Sales staff wasn't informative, didn't go over all the features or explain the features to me in the car the general manager was very pushy and aggressive and pressure sales tactics",1.7,
7,14-Dec-17,"I thought the salesman, Christian Alvarez, was great--he was honest and straightforward. The dealership's practice of automatically adding Lo-Jack to every car as a way of boosting their profits, was very upsetting--it turned what could have been a great experience into one that took a couple of days and was frustrating. Why should I have to fight to not pay for something that I never wanted to have to begin with? There were times that I was ready to buy a different brand car because of the hassle, and the sales manager, when he eventually relented and agreed to remove the charge for the Lo-Jack (after repeatedly telling me he couldn't remove the charge), treated me like I was being unreasonable--truly, I was two minutes away from buying a Mazda.",2,
102,06-Jul-17,"Do not buy from here. I was given a price up front by Cody Didyoung and specifically asked if there was anything dealer added, and was told no. I guess they forgot to mention the additional $300 charge for VIN stickers they add onto the doors. I made an appointment and was told the car would be ready when I got there. It wasn't. The department that preps vehicles did a horrible job. Sticker goo was left on the rear windows and the front tires were over inflated by 4 pounds. The engine bay looks like someone dumped a 40lb bag of sand in it (I guess that's my fault for assuming the engine bay would be clean). The coolant and windshield wiper fluid weren't anywhere near full, and I feel 23 miles on a car I was told was ""just off the truck"" is a tad excessive. The bottom line is poor attention to detail, things you don't see at some other manufacturer's dealerships. Don't settle for substandard treatment, here or anywhere else.  I contacted the dealership about the above faults with the car and was told the email would be forwarded to the service department, detail department, and the manager. It's been 10 days, and no one has contacted me to offer to fix the issues or even to apologize. Their lack of customer service would give Comcast a run for their money.",2.2,
237,17-Jan-17,Financed amount was more than I was told. Payments were higher than I was told. I called the dealership multiple times and left numerous messages and never got a call back. Horrible customer service.,2.4,
367,01-Jun-16,I was unsatisfied with what was told to me. I was told I was going to get money back on my military rebate and I did not.,2.6,
