,Date,Reviews,Ratings,Label
491,28-Dec-16,"12/27/2016

Today my son, his wife and I endured 3 hours of a classical ""bait and switch"" game at the Capitol Hyundai in San Jose, CA. We should have left at the first sign of trouble. That is on us. We are not experienced dealership customers. We speak with an accent and I believe our accent and foreign names were the reasons for this frustrating encounter.
They didn't have the car we wanted (it was sold miraculously yesterday although it was still listed in the inventory today) but, fortunately, they had an older model for a ""better price"" that was printed out after a long struggle with computers and printers. We said we had a pre-approved loan and were ready to pay the quoted ""better price"" with a bank check. They decided to beat our bank's loan offer and 30 minutes later a new quote was printed that was $3000 more than the first one! They insisted that we ""misread"" the first document. The new one had a much higher APR than we got from our bank, there was a ""downpayment"" of $2500 added to the previously quoted price, and, by the way, the promised discounts were cancelled because we were ""refusing their financing""!!!! They were cancelled on the quote for their financing offer!!! The salesman was constantly disappearing ""to figure out stuff"", lying, stalling, and trying to pressure us into a horrible deal. I keep thinking that, may be, my accent, or my blond hair made him think I was so stupid I could possibly buy that load of you know what??? My son and his wife kept their composure to the end but I have to admit that I lost it a bit. This was the most blatant and pathetic attempt of swindling I have ever witnessed. The sleazy and greedy salesmen from Capitol Hyundai in San Jose, CA are trying to intimidate and manipulate potential customers. Please do not expect them to honor any of their promises.",1,sn
725,16-Jul-16,I gave my Santa Fe to check a simple AC issue last Wednesday. The advisor told me he will give me an update by evening. The next day he was on leave. I followed up with a call on Friday and they didn't even care to provide me any alternative. I am still waiting to get some response. When I called the service phone number it goes on for some time and then to the answering machine. And here I am still waiting to get any response. Nobody took the responsibility to either let me know what's happening or give me a date when I can get  my car back. I didn't expect this from Hyundai service centre at least.,1,
836,06-May-16,"I was looking for a used car.  I contacted Capitol Hyundai via internet.  They called me back and seemed very nice.  I ended up purchasing a different car from somewhere else.  I got another call back as they wanted to check and see if I needed any assistance.  I told the young man that I had just purchased another kind of car and was in the middle of saying thank you very much for all their assistance, but he hung up on me right after I mentioned the purchase.  Unbelievably insulting and unprofessional.  At this point I would tell people not to deal with them the classy thing to do would have been to say Thank you for contacting us and to enjoy your new car!",1,
1026,23-Oct-15,"I came here for minor maintenance service, which I bought a whole package when I bought my car. They promises me it took abt 1 to 1.5hrs, but I had to wait 3 hours with or without appointment. So badly",1,
153,07-Sep-17,They told me many incorrect facts during the negotiation and tried to sell me products I didn't want. When I got the car it was defective and paint was peeling off after 2-3. They didn't offer me any exchange or compensation and just told me to take it to service department. It now more than 22 days in body shop!!,1.2,
0,30-Nov-18,"I left my car for a warranty check up because my rear tires were cupping. Was told they might need to keep it overnight ( the appointment was made 3 weeks in advance). The advisor sent me a text to check on status. Sent him a text towards the end of the day. No response. Called back the next day. He is off and cannot get an answer on the status until he comes back to work. What a bogus answer.
Worst service that I have ever seen.",1.3,
4,13-Jan-18,"I have several complaints and negative information about the employees and the experience at this dealership. They do not stand by their information and if you are not alert and pay attention to details of the offer, they take advantage of you and try to have one up on you. They do not honor what they say. I will lever go back again and will never recommend my large network to ever give this place their business.",1.3,
295,31-May-17,"Absolutely horrible customer service. Attempted to charge us an additional grand for absolutely nothing, until we brought it to their attention that the price seemed higher than expected (to which the claimed that it was correct for the next 15 minutes before agreeing to fix it). Car was missing navigation card, and we were told we could come back for it the next day. Over a week, and 3-4 visits back, we still don't have the navigation card. Windshield came scratched, and they said they'd fix it for us, but that still hasn't been done either. When the time comes to purchase another Hyundai, we will 100% be shopping at a different location.",1.4,
851,19-Apr-16,Irene who handles UberX lease he did a terrible job after my asking her if I was going to be paying 250 a month she said 180 come to find out it was 180 a week not a month,1.4,
230,06-Jul-17,"I recently purchased new Hyundai Sonata on lease. My salesperson was Ronald Tobin. Ronald is by far the worst salesperson I have ever encountered in my life. He was rude from the beginning and was not there to sell the car, rather his whole mission was to prove the customer wrong by random fumbling even when he knew he was wrong.  Instead of making the whole buying process a smooth and amiable one, he made it so stressful that I considered not buying the car just because the attitude of Ronald but since my friends had come with me that day to help me buy a car just on that day,  we decided to sit through and bear that guy. Ronald is extremely rude salesperson. From the beginning, he made it seem like it was us who were in need of the car and he was not interested in selling it and interrupted whenever I started to speak up. He does not know how to understand a customer or does not have the patience to hear out  their opinion. He would just start speaking up with no clear objective and start making up things half way in between. I stayed there for 9 hours and it was a very tedious experience given my salesperson did not try to make my visit any worth it. It was my friends and I who were trying to propose a figure in order to get the deal closed and Ronald, on the other hand, did not even try to negotiate, rather was vehemently raising objections on everything and seemed that he was hell bent that the deal does not closed. To add to the blunder, MY CAR DOES NOT EVEN HAVE THE CAR NUMBER STICKER sticked in front of the wind screen. I am driving it without a temp number. When I called and tried to explain him the matter, he again began by trying to prove me wrong and stared fumbling instead of being polite enough and accept his mistake. It was my misfortune that I had to deal with such bad salesperson. I request Hyundai to please change my salesperson and assign me a new point of contact who is sensible enough to try to help out the customers and not try to argue with them.",1.6,
